P_id,Parla_Accession_No,Parla_Language_Name,Culture,P_cid,Culture_2,P_cid_2,Parla_V1,Parla_V2,Parla_V3,Parla_V4,Parla_V5,Parla_V6,Parla_V7,Parla_V8,Parla_V9A,Parla_V9B,Parla_V9C,Parla_V10,Parla_V11,Parla_V12A,Parla_V12B,Parla_V13,Parla_V14,Parla_V15,Parla_V16,Parla_V17,Parla_V18,Parla_V19,Parla_V20,Parla_V21,Parla_V22,Parla_V23,Parla_V24,Parla_V25,Parla_V26,Parla_V27,Parla_V28,Parla_V29,Parla_V30,Parla_V31,Parla_V32,Parla_V33,Parla_V34,Parla_V35,Parla_V36,Parla_V37,Parla_V38,Parla_V39,Parla_V40,Parla_V41,Parla_V42,Parla_V43,Parla_V44,Parla_V45,Parla_V46,Parla_V47,Parla_V48,Parla_V49,Parla_Real1,Parla_Real2,Parla_Real3,Parla_Real4,Parla_Real5,Parla_Real6,Parla_Real7,Parla_Real8,Parla_Coder,Parla_Active
162,12353,Dinka,Dinka,14576,,,16,2,8,4,2,32,64,128,4,8,128,8,32,4,16,32,8,4,4,2,2,6,6,12,4,6,2,4,4,16,32,6,2,8,32,32,16,12,8,8,32,64,18,16,4,4,20,4,6,2,2,4,61506,64,4161,64,16448,57408,16449,51265,,1
133,9027,English,New York Unspecified,62539,,,8,2,4,24,8,32,128,16,0,0,0,8,8,8,0,16,4,4,2,2,4,2,8,8,16,4,8,4,8,8,16,2,2,8,24,16,24,8,24,8,32,264,2,8,8,2,4,2,2,6,2,2,28738,0,32832,32959,32959,32959,38977,38977,,1
113,8258,Marathi,Marathi,62537,,,32,22,2,8,2,8,128,16,8,4,2,8,12,4,32,16,2,24,16,2,4,4,8,8,4,2,2,8,24,2,8,2,2,24,8,12,12,12,6,8,32,16,32,2,2,2,2,2,2,6,2,4,61505,0,36928,24640,8256,32831,24641,63553,H,1
34,1092,Crow,Apsáalooke,14169,,,0,0,0,0,0,0,0,4,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,32,2,2,2,8,0,2,0,6,4,16,12,4,2,24,2,8,36,2,2,2,2,2,2,2,2,2,4,6,32959,32959,8256,49215,32831,64,32959,32959,,1
31,40514,Zapotec,Zapotec,29239,,,16,18,4,16,2,2,128,8,2,2,4,4,2,4,8,8,2,12,2,2,6,2,32,32,2,2,6,8,4,2,2,2,2,8,16,20,24,4,8,8,36,10,2,2,4,4,2,2,2,4,6,0,57408,0,24640,63,32831,64,28737,41025,,1
15,33346,Jivaro,Jivaro,17667,,,32,40,6,2,4,0,0,4,2,2,0,2,4,32,0,32,2,32,2,2,12,6,12,4,2,2,2,2,16,24,8,2,4,16,24,48,2,24,32,4,40,-128,2,32,2,2,2,2,2,4,2,4,32959,32959,64,63,49215,32959,21570,21570,,1
86,26690,Tiwi,Tunuvivi,30077,,,8,56,6,16,2,8,8,8,2,2,4,6,2,4,16,32,2,16,2,2,8,8,32,32,2,2,2,6,12,48,34,2,6,24,24,48,2,20,6,4,40,32,4,120,2,2,2,2,2,6,2,4,61505,41024,16448,63,49215,64,28737,51265,,1
32,4195396,Oneida,Haudenosaunee,17282,,,2,0,0,0,0,0,0,16,2,2,8,2,0,0,0,0,0,0,0,2,0,2,0,32,2,2,6,16,0,4,0,2,4,48,48,0,18,24,12,8,48,8,8,16,8,12,2,6,2,6,4,4,32959,32959,32832,63,49215,16448,32959,32959,,1
51,836,Ainu,Hokkaido Ainu,16809,,,2,0,0,0,0,0,0,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,32,2,2,2,2,0,2,0,4,4,32,48,40,2,24,2,12,48,2,2,16,2,2,2,2,2,2,2,4,32959,32959,64,32831,49215,63,32959,32959,,1
97,45121,Thai,Thai,26973,,,32,2,2,8,2,32,128,8,2,2,4,2,4,2,0,16,2,2,2,2,2,2,2,12,2,6,2,12,4,2,12,2,2,12,32,24,32,32,16,8,48,16,6,10,12,6,2,2,4,4,2,6,579,0,16448,49215,63,64,49216,0,,1
